Data: bioavailability.csv
Input data size: (359, 242)
Ground complexity: 151876620329.0
Ground complexity on training data: 108871574822.0
Run GP with parameters:  {'const_range': (-1.0, 1.0), 'first_tournament': 'fitness', 'function_set': ('add', 'sub', 'mul', 'div'), 'generations': 500, 'init_depth': (2, 6), 'init_method': 'half and half', 'max_samples': 1.0, 'metric': 'mean absolute error', 'n_jobs': 2, 'p_crossover': 0.7, 'p_hoist_mutation': 0.05, 'p_point_mutation': 0.1, 'p_point_replace': 0.05, 'p_subtree_mutation': 0.1, 'parsimony_coefficient': 0.001, 'population_size': 200, 'random_state': 42, 'safe_best_program_to_file': (True,), 'second_tournament': 'complexity', 'second_tournament_size': 1.4, 'stopping_criteria': 0.01, 'tournament_size': 10, 'verbose': 1, 'warm_start': False}
    |    Population Average   |                                            Best Individual                                              |
---- ------------------------- --------------------------------------------------------------------------------------------------------- ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness       Complexity                                       Program  Time Left
 107   206.07    50.0325393219      209    22.7467828703              N/A    1.12552129798                 str too long - check pdf-file    167.14m
 108   209.19    53.9317909236      249    22.7054525179              N/A    1.12307043615                 str too long - check pdf-file    166.74m
 109   203.33    41.4882756101      199    22.5939900074              N/A    1.15351961865                 str too long - check pdf-file    166.37m
 110   214.81    47.4778139702      331    22.6214547783              N/A    1.11462403692                 str too long - check pdf-file    165.77m
 111   218.54    58.7451983502      217    22.6139070728              N/A    1.11466187503                 str too long - check pdf-file    165.27m
 112   223.33    81.2939066539      241    22.6016913566              N/A    1.07473722853                 str too long - check pdf-file    164.91m
 113   220.72    114.264917679      241    22.6016913566              N/A    1.07473722853                 str too long - check pdf-file    164.60m
 114   227.24     139.32043945      231    22.4819816726              N/A    1.07348354466                 str too long - check pdf-file    164.04m
 115    228.4    2724.31880834      231    22.4819816726              N/A    1.07348354466                 str too long - check pdf-file    163.49m
 116   227.49    183.237638145      231    22.4802444187              N/A      1.073491303                 str too long - check pdf-file    163.09m
 117   233.95    41.6919460472      231    22.3593764855              N/A    1.07355230588                 str too long - check pdf-file    162.67m
 118   232.88    46.4631771048      231    22.3593764855              N/A    1.07355230588                 str too long - check pdf-file    162.02m
 119   235.96    123.589651563      239    22.3576392316              N/A    1.07356006422                 str too long - check pdf-file    161.67m
 120    228.7    34.9181029559      255    22.3084989769              N/A    1.04143138966                 str too long - check pdf-file    161.44m
 121   228.22    669.223654956      253    22.3084989769              N/A    1.04143138966                 str too long - check pdf-file    325.71m
 122   227.65    740.130288281      261    22.3084989769              N/A    1.04143138966                 str too long - check pdf-file    323.92m
 123   232.75    60.8508220158      263    22.2835374914              N/A     1.0817529714                 str too long - check pdf-file    321.68m
 124    235.5    43.8607471408      269    22.1543636116              N/A    1.08189449629                 str too long - check pdf-file    319.44m
 125   242.75    185.183708685      263    22.1543636116              N/A    1.08189449629                 str too long - check pdf-file    317.23m
 126    250.4    107.437519625      269    22.1543636116              N/A    1.08189449629                 str too long - check pdf-file    315.40m
 127   248.74    1098.25211598      271     22.096788318              N/A    1.10677125107                 str too long - check pdf-file    313.30m
 128   258.15    69.3553743282      271     22.096788318              N/A    1.10677125107                 str too long - check pdf-file    311.22m
 129   262.81    40.8658730581      285    22.0842201019              N/A      1.063428453                 str too long - check pdf-file    309.29m
 130   263.78    124.390932425      277    22.0589725618              N/A    1.07279813053                 str too long - check pdf-file    307.70m
 131   265.53    125.263821303      433    22.0589725618              N/A    1.07279813053                 str too long - check pdf-file    305.79m
 132   255.18    121.156947825      261    22.0680767919              N/A   0.864326867683                 str too long - check pdf-file    303.72m
 133   248.36    42.4060380745      263    22.0680767919              N/A   0.864326867683                 str too long - check pdf-file    301.66m
 134   238.88    42.7419723334      331    22.0763376448              N/A    1.06339207246                 str too long - check pdf-file    299.57m
 135   241.77     132.57134075      331    22.0763376448              N/A    1.06339207246                 str too long - check pdf-file    297.62m
 136   242.68    123.836264821      249    22.0234853013              N/A    1.08667982394                 str too long - check pdf-file    295.91m
 137   236.72    755.777078651      249    22.0234853013              N/A    1.08667982394                 str too long - check pdf-file    294.03m
 138   235.79    131.275911907      265    22.0329973681              N/A    1.05806193153                 str too long - check pdf-file    292.12m
 139   233.34    84.1282884638      261    22.0020119351              N/A    1.06179514821                 str too long - check pdf-file    290.28m
 140   231.18    81.1225711832      261    22.0020119351              N/A    1.06179514821                 str too long - check pdf-file    288.37m
 141   230.84     129.86885278      279    22.0020119351              N/A    1.06179514821                 str too long - check pdf-file    286.63m
 142   244.53    69.6325068655      281    21.9922400674              N/A    1.06179550357                 str too long - check pdf-file    284.98m
